Category,Sub Category (Exam Name),Conducted Years,Missing / Not Conducted Years (within range),Question Paper Availability (Years),Stage 1 – Exam Type,Stage 2 – Exam Type,Stage 3 – Exam Type,Notes
UPSC,Civil Services Examination (CSE),2015–2025,None (conducted every year),"2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024",Prelims – MCQ (GS Paper I + CSAT Paper II),"Mains – Written (9 papers: Essay, GS I–IV, Optional I–II, Language papers)",Personality Test / Interview,2025 papers pending official upload; CSAT is qualifying
UPSC,Indian Forest Service (IFoS),2015–2025,None (conducted every year),"2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024",Prelims – MCQ (shared with CSE Prelims),"Mains – Written (6 papers: General English, General Knowledge, 2 Optional subjects × 2 papers each)",Personality Test / Interview,Prelims is common with CSE; separate Mains for IFoS
UPSC,Engineering Services Examination (ESE / IES),2015–2025,None (conducted every year),"2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024",Prelims – MCQ (Paper I: GS & Engg. Aptitude; Paper II: Engineering discipline),"Mains – Written (Paper I & Paper II: Engineering discipline, conventional/descriptive)",Personality Test / Interview,Pattern revised from 2017 onwards (Prelims added); 2015–2016 had only Written + Interview
UPSC,Combined Defence Services (CDS),2015–2025 (2 cycles/year: CDS I & CDS II),None (both cycles held every year),"2015 I&II, 2016 I&II, 2017 I&II, 2018 I&II, 2019 I&II, 2020 I&II, 2021 I&II, 2022 I&II, 2023 I&II, 2024 I&II","Written – MCQ (English, GK, Elementary Mathematics; OTA: English + GK only)","SSB Interview (conducted by MoD, not UPSC)",N/A,Two cycles per year; Mathematics paper not required for OTA entry
UPSC,National Defence Academy & Naval Academy (NDA & NA),2015–2025 (2 cycles/year: NDA I & NDA II),None (both cycles held every year),"2015 I&II, 2016 I&II, 2017 I&II, 2018 I&II, 2019 I&II, 2020 I&II, 2021 I&II, 2022 I&II, 2023 I&II, 2024 I&II",Written – MCQ (Mathematics + General Ability Test),"SSB Interview (conducted by MoD, not UPSC)",N/A,Two cycles per year; females eligible from 2022 onwards (SC order)
UPSC,Combined Medical Services (CMS),2015–2025,None (conducted every year),"2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024","Written – MCQ (Paper I & Paper II: clinical medicine, surgery, gynaecology, etc.)",Personality Test / Interview,N/A,Single-day written exam (both papers); no Mains written stage
UPSC,Indian Economic Service / Indian Statistical Service (IES/ISS),2015–2025,None (conducted every year),"2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024",Written – Both (General English & General Studies: MCQ; Economics/Statistics papers: Written/Descriptive),Personality Test / Interview,N/A,"IES: 6 papers (Gen. English, Gen. Studies, Economics I–IV); ISS: 6 papers (Gen. English, Gen. Studies, Statistics I–IV)"
UPSC,Combined Geo-Scientist Examination,2015–2025,None (conducted every year; exam renamed/restructured in 2020 from Geologist Exam),"2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024",Prelims – MCQ (Paper I: General Studies; Paper II: discipline-specific),Mains – Written (3 discipline-specific descriptive papers),Personality Test / Interview,Renamed from 'Geologist Examination' to 'Combined Geo-Scientist Examination' from 2020; papers for 2015–2019 are under old name
UPSC,EPFO – Enforcement Officer / Accounts Officer,2015–2025,"2016, 2018 – Not conducted; 2020 – Deferred to 2021 (COVID-19)","2015, 2017, 2019, 2021, 2022, 2023, 2024","Written – MCQ (General English, Indian Freedom Struggle, Current Events, Indian Polity, General Accounting Principles, Industrial Relations & Labour Laws, etc.)",Interview / Skill Test,N/A,Not conducted every year; recruitment driven by vacancy notifications; 2020 exam held in 2021
UPSC,Central Armed Police Forces – Assistant Commandant (CAPF AC),2015–2025,None (conducted every year),"2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024","Written – Both (Paper I: MCQ – General Ability & Intelligence; Paper II: Descriptive – Essay, Précis, Comprehension)",Physical Standards / Physical Efficiency Test (PET),Interview / Personality Test,Paper I is MCQ; Paper II is descriptive/written — both on same day
